maT,meT,miT
26.314285714285713,23.15510204081632,20.412244897959177
28.495918367346935,24.565306122448966,21.477551020408164
30.838775510204094,26.0938775510204,22.446938775510205
31.483673469387757,26.885714285714286,23.259183673469384
32.28163265306123,27.21836734693878,23.540816326530614
32.24081632653061,27.602040816326536,23.969387755102055
33.02244897959184,27.73061224489796,23.469387755102037
33.37959183673469,27.83061224489795,23.12244897959184
33.1204081632653,27.577551020408162,22.869387755102043
32.251020408163264,27.275510204081634,23.00816326530612
31.875510204081625,26.820408163265306,22.85714285714286
30.88163265306122,26.502040816326527,23.44285714285714
31.728571428571435,26.95510204081633,23.561224489795915
32.83877551020409,27.765306122448976,23.96326530612245
33.15918367346939,27.789795918367343,23.995918367346942
28.77551020408164,25.871428571428577,24.014285714285716
31.016326530612258,26.63469387755103,23.51224489795918
31.781632653061223,27.579591836734686,24.334693877551025
33.61428571428573,27.967346938775513,23.426530612244896
32.499999999999986,27.706122448979595,23.10204081632652
30.302040816326524,26.834693877551015,24.097959183673474
31.3265306122449,27.130612244897957,23.685714285714287
30.948979591836736,27.075510204081638,24.20408163265306
28.865306122448967,24.89183673469388,20.808163265306124
27.561224489795915,22.410204081632646,17.259183673469398
27.604081632653077,22.455102040816325,17.636734693877553
26.771428571428572,22.930612244897958,19.977551020408164
30.24285714285715,25.28367346938776,20.72448979591837
32.31632653061224,26.793877551020415,22.471428571428568
28.85102040816326,24.432653061224496,20.997959183673466
29.702040816326534,24.551020408163264,20.859183673469392
29.961224489795924,24.28775510204082,19.51224489795918
29.991836734693877,24.257142857142856,19.66122448979592
30.610204081632656,24.34489795918367,19.140816326530608
30.161224489795917,23.577551020408166,17.38571428571429
30.41836734693878,24.075510204081624,18.520408163265305
28.58775510204081,24.875510204081635,21.253061224489795
28.806122448979597,25.414285714285715,22.77959183673469
28.7265306122449,24.63469387755102,21.428571428571434
28.387755102040817,24.55918367346939,21.630612244897957
29.3734693877551,24.553061224489795,21.13469387755102
29.410204081632656,23.9326530612245,19.626530612244895
29.575510204081624,23.571428571428573,18.304081632653062
29.41224489795918,23.1938775510204,17.726530612244897
26.102040816326536,23.206122448979595,20.263265306122445
26.779591836734685,23.475510204081637,20.29591836734694
28.822448979591837,22.55918367346939,17.80408163265306
28.787755102040823,22.081632653061234,16.824489795918364
27.38571428571428,22.806122448979593,18.593877551020412
26.68979591836734,24.024489795918374,21.751020408163264
26.451020408163266,22.928571428571434,20.51224489795918
29.032653061224494,22.48775510204082,16.979591836734695
